POS,PLAYER,TEAM,M,I,WKTS,R,BBI,AVG,ECON,SR,4W,5W
1,Hemchudeshan J,TNCA,8,15,47,716,5,15.23,2.61,34.89,4,3
2,Khilan A Patel,GUCA,8,15,45,984,6,21.86,2.88,45.53,1,5
3,Arkajit Roy,TCA,6,11,38,379,6,9.97,2.39,25.02,2,4
4,Akshu Bajwa,UPCA,8,15,38,759,8,19.97,2.80,42.71,1,3
5,Bk Kishore,TNCA,9,17,38,784,5,20.63,2.85,43.36,3,2
6,Johan,CAM,5,9,37,573,7,15.48,2.86,32.45,1,4
7,Sandeep Paswan,CAP,6,11,37,301,7,8.13,1.82,26.70,1,4
8,Aditya Kumar Singh,UPCA,7,13,35,763,6,21.80,3.10,42.14,1,3
9,N Rajesh,ACA,6,12,34,685,6,20.14,2.45,49.23,2,2
10,Shubham Rana,PCA,6,11,33,565,6,17.12,3.25,31.51,2,2
11,Jatin,RCA,6,11,33,586,7,17.75,2.21,48.06,1,2
12,Naman Devendra Pushpak,MCA,5,9,32,538,5,16.81,4.36,23.09,4,2
13,Keval A Patel,GUCA,7,14,32,663,5,20.71,3.36,36.96,2,1
14,Tanish,JSCA,5,9,31,626,5,20.19,2.38,50.80,1,4
15,Kanishk Chouhan,HCA,5,10,31,582,5,18.77,2.62,42.93,4,2
16,Vishal Bhati,CAB,6,11,31,537,6,17.32,2.76,37.54,1,3
17,Rohit Singh Rajawat,MPCA,5,10,30,600,5,20.00,3.11,38.53,2,2
18,Keshav M Warke,BCA,6,12,29,695,5,23.96,2.89,49.65,2,3
19,Anv Lohith,ACA,6,12,29,713,7,24.58,3.23,45.62,3,1
20,Udhav Mohan,DDCA,6,10,28,584,5,20.85,3.40,36.78,1,1
21,Aadnan,SICA,5,7,27,477,6,17.66,2.97,35.66,0,3
22,Suman Kumar,BICA,5,8,27,456,10,16.88,2.16,46.88,1,1
23,Niraj Joshi,MHCA,7,12,27,443,5,16.40,2.15,45.66,1,1
24,Damnpreet Singh,PCA,6,12,26,565,5,21.73,2.42,53.84,1,1
25,Kishan Kumar Singh,UPCA,8,15,26,739,5,28.42,3.27,52.11,0,1
26,Joyhenba,MNCA,5,8,25,273,7,10.92,2.48,26.40,0,2
27,Sayed Tufayl Ahmad,OCA,5,8,24,391,5,16.29,2.89,33.70,3,1
28,R Pravin,TNCA,8,15,24,483,4,20.12,2.81,42.83,2,0
29,Abhay Patel,MCA,4,8,23,371,5,16.13,2.69,35.95,2,1
30,Dhananjay Nayak,CSCS,5,9,23,509,5,22.13,2.78,47.60,1,1
31,Arnav S Bugga,DDCA,6,10,23,348,5,15.13,2.64,34.26,0,1
32,Anmoljeet,PCA,6,12,23,504,5,21.91,2.58,50.82,1,2
33,Ankur Sharma,UPCA,8,15,23,496,5,21.56,3.39,38.13,0,1
34,Sanskar Chavate,VCA,5,9,22,425,4,19.31,3.05,37.90,2,0
35,Pavan Patel,BCA,6,12,22,291,6,13.22,2.43,32.59,1,1
36,Ayushman Malakar,ASCA,5,7,21,418,5,19.90,2.94,40.61,0,2
37,V Yashveer,HYCA,5,8,21,558,4,26.57,2.88,55.19,5,0
38,Vikalp Tiwari,CSCS,5,9,21,334,5,15.90,2.34,40.76,1,1
