POS,PLAYER,TEAM,M,I,R,NO,HS,AVG,BF,SR,100,50,4S,6S
1,Ajinkya Rahane,MCA,9,8,469,-,98,58.63,285,164.56,0,5,46,19
2,Rajat Patidar,MPCA,10,9,428,2,81*,61.14,230,186.08,0,5,32,31
3,S Gani,BICA,7,7,353,1,120*,58.83,248,142.33,1,2,41,10
4,Shreyas Iyer,MCA,9,8,345,1,130*,49.29,183,188.52,1,1,31,22
5,Karan Lal,CAB,9,9,338,1,94*,42.25,209,161.72,0,2,35,18
6,Abishek Porel,CAB,9,9,335,1,81,41.88,211,158.76,0,3,38,15
7,Tilak Varma,HYCA,7,6,327,1,151,65.40,193,169.43,1,2,24,17
8,Priyansh Arya,DDCA,9,9,325,1,102,40.63,184,176.63,1,1,25,23
9,H Desai,SCA,8,8,323,-,76,40.38,212,152.35,0,3,39,13
10,Urvil Patel,GUCA,6,6,315,2,115*,78.75,137,229.92,2,0,22,29
11,K S Bharat,ACA,7,7,307,3,93*,76.75,205,149.75,0,4,29,12
12,Harpreet Singh Bhatia,MPCA,10,9,297,3,60,49.50,221,134.38,0,2,25,10
13,Mohit Jangra,CAM,7,7,296,3,80*,74.00,196,151.02,0,3,25,17
14,Mohit Ahlawat,SSCB,6,6,290,-,74,48.33,166,174.69,0,2,16,20
15,Ricky Bhui,ACA,7,6,289,1,84,57.80,153,188.88,0,3,26,20
16,Aarya Desai,GUCA,7,7,287,1,78,47.83,196,146.42,0,2,34,9
17,N Jagadeesan,TNCA,7,7,280,-,88,40.00,171,163.74,0,4,25,12
18,Rinku Singh,UPCA,9,8,277,4,70,69.25,182,152.19,0,1,24,14
19,Bhanu Pania,BCA,9,7,273,2,134*,54.60,127,214.96,1,0,15,25
20,Suyash S Prabhudessai,GOACA,6,6,270,2,71*,67.50,180,150.00,0,4,33,5
21,Swastik Samal,OCA,6,5,257,-,105,51.40,136,188.97,1,2,24,16
22,Abhishek Sharma,PCA,7,7,255,1,106*,42.50,118,216.10,1,1,26,18
23,Karun Nair,VCA,7,6,255,-,77,42.50,144,177.08,0,3,26,14
24,Subhransu Senapati,MPCA,10,10,254,1,50,28.22,197,128.93,0,1,16,9
25,H H Pandya,BCA,7,7,246,2,74*,49.20,127,193.70,0,2,17,20
26,Rohan S Kunnummal,KCA,6,6,244,-,87,40.67,144,169.44,0,2,23,14
27,Shivam Bhambri,UTCA,7,7,241,1,75,40.17,153,157.51,0,3,23,11
28,Yash Dhull,DDCA,9,9,238,2,59*,34.00,203,117.24,0,1,28,9
29,Shahbaz,CAB,9,6,237,3,100*,79.00,134,176.86,1,1,13,17
30,Shivalik Sharma,BCA,9,9,235,1,64,29.38,151,155.62,0,2,19,14
31,Yuvraj Choudhary,CAU,5,5,234,1,123,58.50,139,168.34,1,1,25,15
32,Venkatesh Iyer,MPCA,10,9,227,5,38*,56.75,139,163.30,0,0,18,11
33,Prerak Mankad,SCA,8,8,222,-,54,27.75,142,156.33,0,1,27,9
34,Aryan Juyal,UPCA,9,9,220,-,75,24.44,155,141.93,0,2,27,9
35,Shashwat Rawat,BCA,5,5,217,-,63,43.40,131,165.64,0,1,19,11
36,K L Shrijith,KSCA,7,7,213,2,72*,42.60,121,176.03,0,1,16,16
37,Prabhsimran Singh,PCA,6,6,207,-,62,34.50,125,165.60,0,1,24,9
38,B Indrajith,TNCA,7,7,206,-,78,29.43,109,188.99,0,1,21,10
39,Agni Chopra,CAM,7,7,205,1,56*,34.17,164,125.00,0,2,27,2
40,Vishvarajsinh Jadeja,SCA,8,8,204,3,60,40.80,132,154.54,0,2,18,9
41,Kartik,RCA,7,6,201,-,58,33.50,122,164.75,0,2,9,17
42,Nishant Sindhu,HCA,7,6,200,1,100*,40.00,137,145.98,1,1,18,7
43,Ajay Rohera,CAP,6,6,200,-,105,33.33,123,162.60,1,0,21,11
44,Sridam Paul,TCA,7,7,199,1,68*,33.17,131,151.90,0,2,18,12
45,Priyam Garg,UPCA,5,5,198,-,81,39.60,137,144.52,0,2,21,9
46,Priyojit K,MNCA,7,7,198,1,65*,33.00,211,93.83,0,1,19,3
47,Himmat Singh,DDCA,8,8,197,4,77*,49.25,133,148.12,0,2,13,11
48,Prithvi Shaw,MCA,9,9,197,-,49,21.89,126,156.34,0,0,21,13
49,Arshin Kulkarni,MHCA,6,6,194,-,62,32.33,141,137.58,0,1,21,6
50,Anuj Rawat,DDCA,8,8,192,4,73*,48.00,136,141.17,0,1,18,8
51,K B Arun Karthick,CAP,6,6,191,1,52,38.20,119,160.50,0,1,15,12
52,B S Sharma,RCA,7,7,190,1,74,31.67,127,149.60,0,1,20,10
53,Atharva Taide,VCA,7,6,189,1,66,37.80,133,142.10,0,1,27,3
54,Abhijeet Tomar,RCA,7,7,188,1,66*,31.33,124,151.61,0,2,14,13
55,H J Rana,HCA,7,7,186,-,91,26.57,145,128.27,0,1,19,7
56,Arpit Gaud,MPCA,9,9,185,-,66,20.56,147,125.85,0,1,16,8
57,Utkarsh Singh,JSCA,7,7,184,1,54,30.67,126,146.03,0,1,26,4
58,Samarth R,CAU,7,6,184,-,54,30.67,140,131.42,0,1,11,10
59,Bikram Kumar Das,TCA,4,4,183,1,79,61.00,123,148.78,0,2,19,4
60,Virat Singh,JSCA,7,6,183,1,64,36.60,131,139.69,0,1,23,4
61,Aditya Tare,CAU,7,7,180,2,54,36.00,120,150.00,0,1,13,10
62,Ayush Badoni,DDCA,9,8,180,-,70,22.50,136,132.35,0,1,19,6
63,Akash Kargave,CAP,6,6,179,1,58,35.80,120,149.16,0,2,15,10
64,Sudip Kumar Gharami,CAB,9,8,179,3,50*,35.80,151,118.54,0,1,12,5
65,Mayank Agarawal,KSCA,7,7,179,-,51,25.57,117,152.99,0,1,16,10
66,Anmolpreet Singh,PCA,6,6,178,1,60,35.60,109,163.30,0,1,22,3
67,Deepak Jagbir Hooda,RCA,7,6,178,-,65,29.67,124,143.54,0,1,11,12
68,K Rohit Rayudu,HYCA,4,4,173,2,56*,86.50,102,169.60,0,3,15,8
69,Upendra Yadav,RSPB,6,5,172,3,68*,86.00,115,149.56,0,2,11,10
70,Arpit Subhas,MECA,7,7,172,-,65,24.57,164,104.87,0,1,15,4
71,Rajangad Bawa,UTCA,7,6,171,-,61,28.50,125,136.80,0,1,10,11
72,Ruchit Ahir,SCA,5,5,170,1,57,42.50,95,178.94,0,2,7,14
