POS,PLAYER,TEAM,M,I,WKTS,R,BBI,AVG,ECON,SR,4W,5W
1,Jagjit Singh Sandhu,UTCA,7,7,18,229,5,12.72,8.48,9.00,1,1
2,Kumar Kartikeya Singh,MPCA,10,10,17,290,3,17.05,7.63,13.41,0,0
3,M G Choudhary,MHCA,6,6,15,194,4,12.93,8.81,8.80,1,0
4,Shardul Thakur,MCA,9,9,15,368,4,24.53,10.51,14.00,1,0
5,Shreyas Gopal,KSCA,7,7,14,166,5,11.85,6.14,11.57,1,1
6,K V Sasikanth,ACA,7,7,14,261,3,18.64,9.66,11.57,0,0
7,A Sheth,BCA,9,9,14,308,3,22.00,10.44,12.64,0,0
8,A Nagwaswalla,GUCA,6,6,13,212,4,16.30,9.28,10.53,1,0
9,Stephen,ACA,7,7,13,176,4,13.53,7.33,11.07,1,0
10,Sayan Ghosh,CAB,7,7,13,183,4,14.07,6.77,12.46,1,0
11,Bishworjit,MNCA,7,7,13,193,4,14.84,8.64,10.30,1,0
12,T Ravi Teja,HYCA,7,7,13,209,4,16.07,8.19,11.76,1,0
13,Mohit Avasthi,MCA,8,8,13,303,4,23.30,9.93,14.07,1,0
14,D G Nalkande,VCA,7,6,12,209,3,17.41,9.57,10.91,0,0
15,Abid Mushtaq,JKCA,7,7,12,166,4,13.83,7.84,10.58,2,0
16,Bal Krishna,JSCA,7,7,12,177,3,14.75,7.37,12.00,0,0
17,Parvez Sultan,TCA,7,7,12,206,4,17.16,8.13,12.66,2,0
18,Rajangad Bawa,UTCA,7,7,12,232,3,19.33,9.21,12.58,0,0
19,D A Jadeja,SCA,8,8,12,188,3,15.66,6.71,14.00,0,0
20,L I Meriwala,BCA,8,8,12,278,3,23.16,9.58,14.50,0,0
21,Vineet Panwar,UPCA,9,9,12,284,3,23.66,7.88,18.00,0,0
22,Dipesh Parwani,VCA,6,5,11,178,4,16.18,10.26,9.45,1,0
23,H V Patel,HCA,7,7,11,179,5,16.27,7.83,12.45,0,1
24,Rasikh Salam,JKCA,7,7,11,194,3,17.63,7.46,14.18,0,0
25,Tripuresh Singh,MPCA,8,8,11,198,3,18.00,7.97,13.54,0,0
26,Prince Yadav,DDCA,8,8,11,205,3,18.63,7.59,14.72,0,0
27,Chirag Jani,SCA,8,8,11,238,3,21.63,7.97,16.27,0,0
28,Bhuvneshwar Kumar,UPCA,9,9,11,176,3,16.00,6.03,15.90,0,0
29,Mohammed Shami,CAB,9,9,11,279,3,25.36,7.85,19.36,0,0
30,Nidheesh M D,KCA,6,6,10,155,4,15.50,7.75,12.00,1,0
31,Vidyadhar Patil,KSCA,6,6,10,194,3,19.40,8.43,13.80,0,0
32,Yuzvendra Chahal,HCA,7,7,10,119,4,11.90,4.76,15.00,1,0
33,Harsh Tyagi,DDCA,7,7,10,132,3,13.20,6.94,11.40,0,0
34,Ishant Sharma,DDCA,7,7,10,154,2,15.40,7.16,12.90,0,0
35,Kamlesh Nagarkoti,RCA,7,7,10,181,3,18.10,6.70,16.20,0,0
36,Vikash Singh,JSCA,7,7,10,207,4,20.70,8.28,15.00,1,0
37,Vivek Anand Tiwari,JSCA,7,7,10,233,3,23.30,10.59,13.20,0,0
38,Avesh Khan,MPCA,9,9,10,274,2,27.40,8.30,19.80,0,0
39,Felix Alemao,GOACA,3,3,9,93,5,10.33,8.45,7.33,0,1
40,Simarjeet Singh,DDCA,5,5,9,134,3,14.88,7.58,11.77,0,0
