Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best
Abhishek Sharma,Abhishek Sharma,04/09/2000,2024-,17,16,535,2,135,33.44,6,0,25.5,8.05,2/3
K K Ahmed,Khaleel Ahmed,05/12/1997,2018-,18,2,1,0,1,0.0,16,0,35.13,8.52,2/27
Arshdeep Singh,Arshdeep Singh,05/02/1999,2022-,63,21,71,0,12,8.88,99,2,18.3,8.3,4/9
Avesh Khan,Avesh Khan,13/12/1996,2022-,25,5,27,0,16,13.5,27,1,27.85,9.04,4/18
J J Bumrah,Jasprit Bumrah,06/12/1993,2016-,70,8,8,0,7,2.67,89,0,17.74,6.28,3/7
Y S Chahal,Yuzvendra Chahal,23/07/1990,2016-,80,6,6,0,3,3.0,96,3,25.09,8.19,6/25
D L Chahar,Deepak Chahar,07/08/1992,2018-,25,7,53,0,31,26.5,31,1,24.1,8.3,6/7
T U Deshpande,Tushar Deshpande,15/05/1995,2024-,2,0,0,0,0,0.0,2,0,27.5,9.17,1/25
S Dube,Shivam Dube,26/06/1993,2019-,35,26,531,0,63,31.24,13,0,34.23,9.37,3/30
R D Gaikwad,Ruturaj Gaikwad,31/01/1997,2021-,23,20,633,1,123,39.56,0,0,0.0,0.0,
D J Hooda,Deepak Hooda,19/04/1995,2022-,21,17,368,1,104,30.67,6,1,12.67,4.8,4/10
Ishan Kishan,Ishan Kishan,18/07/1998,2021-,32,32,796,0,89,25.68,0,0,0.0,0.0,
S S Iyer,Shreyas Iyer,06/12/1994,2017-,51,47,1104,0,74,30.67,0,0,0.0,6.0,0/2
R A Jadeja,Ravindra Jadeja,06/12/1988,2009-,74,41,515,0,46,21.46,54,0,29.85,7.13,3/15
Y B K Jaiswal,Yashasvi Jaiswal,28/12/2001,2023-,23,22,723,1,100,36.15,0,0,0.0,11.0,0/11
D C Jurel,Dhruv Jurel,21/01/2001,2024-,4,3,12,0,6,4.0,0,0,0.0,0.0,
K D Karthik,Dinesh Karthik,01/06/1985,2006-,59,47,686,0,55,27.44,0,0,0.0,18.0,0/18
R S Kishore,Sai Kishore,06/11/1996,2023-,3,0,0,0,0,0.0,4,0,15.75,5.25,3/12
V Kohli,Virat Kohli,05/11/1988,2010-,125,117,4188,1,122,48.7,4,0,51.0,8.05,1/13
