POS,PLAYER,TEAM,M,I,R,NO,HS,AVG,BF,SR,100,50,4S,6S
1,Arsh Ranga,HCA,9,9,840,2,230,120.00,588,142.85,4,3,69,51
2,Sameer Rizvi,UPCA,6,6,728,3,202*,242.67,422,172.51,4,0,52,62
3,Himateja K,HYCA,6,6,625,2,164*,156.25,499,125.25,3,3,67,18
4,Yashvardhan Dalal,HCA,9,9,582,2,165,83.14,479,121.50,3,2,59,26
5,Gsp Teja,ACA,9,9,576,1,152,72.00,615,93.65,2,4,57,6
6,K Revanth Reddy,ACA,9,10,540,3,151*,77.14,557,96.94,2,3,70,8
7,Harnoor Singh,PCA,9,9,497,-,129,55.22,513,96.88,2,3,58,8
8,R Vimal Khumar,TNCA,7,7,468,1,104,78.00,510,91.76,1,5,47,8
9,Arshin Kulkarni,MHCA,7,7,417,-,125,59.57,359,116.15,1,3,51,12
10,Arpit Rana,DDCA,7,7,409,2,140,81.80,256,159.76,2,2,49,20
11,Innesh N Mahajan,HPCA,9,9,399,-,107,44.33,432,92.36,1,2,42,7
12,Ajitesh G,TNCA,7,7,397,-,128,56.71,326,121.77,1,2,44,17
13,M Hemanth Reddy,ACA,9,9,394,-,132,43.78,404,97.52,1,2,54,8
14,Ahaan Poddar,GUCA,8,8,393,3,164,78.60,392,100.25,1,1,40,12
15,Ayush Pandey,CSCS,8,8,391,2,82*,65.17,429,91.14,0,4,46,11
16,Yawer Hassan,JKCA,7,6,391,-,114,65.17,468,83.54,2,1,38,3
17,Uday Saharan,PCA,7,7,388,-,105,55.43,457,84.90,2,2,34,7
18,Priyesh,GUCA,10,8,384,1,117*,54.86,324,118.51,2,1,39,12
19,Rishi Patel,GUCA,10,10,374,2,113*,46.75,407,91.89,1,2,37,12
20,Neyan Kangayan,CAP,7,7,372,-,130,53.14,423,87.94,1,2,42,7
21,Ansh Yadav,RSPB,6,6,367,-,116,61.17,434,84.56,2,1,37,7
22,Danish Malewar,VCA,7,7,360,-,142,51.43,259,138.99,2,1,42,14
23,Gajjar  Sammar,SCA,6,5,359,1,114,89.75,341,105.27,1,3,29,9
24,Ayush Doseja,DDCA,7,7,353,3,115,88.25,294,120.06,1,4,32,11
25,Kanhaiya Wadhawan,JKCA,7,6,351,2,125*,87.75,327,107.33,2,0,29,7
26,Aryavrat Sharma,HPCA,9,9,347,3,121*,57.83,402,86.31,2,1,28,6
27,Salil Arora,PCA,9,9,347,-,77,38.56,407,85.25,0,3,20,9
28,Mayank Shandilya,HCA,8,6,340,-,135,56.67,335,101.49,1,2,23,12
29,Sachin Yadav,RCA,4,4,337,-,179,84.25,314,107.32,2,0,27,17
30,Hrituraj Ghosh Roy,TCA,7,7,337,1,121,56.17,417,80.81,2,0,26,8
31,Amanpreet  V Singh,HPCA,9,8,336,4,74*,84.00,314,107.00,0,3,27,12
32,Jaymeet Patel,GUCA,5,5,328,1,92,82.00,333,98.49,0,4,28,5
33,Pragnesh Kanpillewar,MCA,6,6,328,1,157*,65.60,325,100.92,1,1,32,9
34,Shoaib Siddiqui,UPCA,6,6,318,1,162,63.60,284,111.97,1,1,25,12
35,Raj Waghela,SCA,7,7,316,-,115,45.14,385,82.07,2,0,31,9
36,Raxit Mehta,SCA,7,7,313,1,85,52.17,300,104.33,0,4,29,7
37,Mridul P Surroch,HPCA,9,9,309,-,78,34.33,331,93.35,0,3,24,9
38,P Patidar,BCA,6,6,301,3,107*,100.33,270,111.48,1,2,23,15
39,Qazi Junaid Masood,JKCA,7,7,295,1,106,49.17,313,94.24,1,2,29,8
40,Aniket Pande,VCA,7,7,290,-,85,41.43,360,80.55,0,3,23,5
41,Priyanshu Moliya,BCA,6,6,289,-,123,48.17,330,87.57,1,1,32,2
42,H A Kate,MHCA,7,7,285,-,76,40.71,303,94.05,0,3,27,1
43,Dhruv N Patel,BCA,6,6,281,1,117,56.20,332,84.63,1,1,25,2
44,Chanchal Rathore,MPCA,7,7,280,1,123,46.67,215,130.23,1,0,33,11
45,Abhay Choudhary,PCA,9,9,280,3,110*,46.67,308,90.90,1,1,25,4
46,S Rithik Easwaran,TNCA,7,6,278,2,90,69.50,227,122.46,0,3,28,13
47,Pradyun Saikia,ASCA,6,6,277,-,120,46.17,265,104.52,1,1,40,5
48,Ansh Gosai,SCA,6,6,274,2,101*,68.50,270,101.48,1,2,30,5
49,Ayush Loharuka,BICA,6,6,272,1,87,54.40,283,96.11,0,3,30,10
50,Krish Amit Gupta,GUCA,10,8,267,2,96,44.50,219,121.91,0,1,21,10
51,Hitesh,CAU,7,6,266,-,91,44.33,292,91.09,0,2,26,7
52,Shaurya Singh,UPCA,7,7,262,-,62,37.43,205,127.80,0,2,34,11
53,Siddharth Yadav,UPCA,4,3,261,2,119*,261.00,206,126.69,2,0,14,19
54,R Jashwanth Shreeram,CAP,7,7,257,-,98,36.71,292,88.01,0,3,23,7
55,Aanjaneya Suryavanshi,CAU,7,7,256,2,66,51.20,294,87.07,0,3,15,5
56,Ashish Kumar Dahariya,CSCS,8,8,252,1,68*,36.00,269,93.68,0,2,25,8
57,Sdnv Prasad,ACA,9,8,249,2,60,41.50,190,131.05,0,2,19,12
58,P Chauhan,SCA,7,7,246,-,85,35.14,195,126.15,0,2,37,10
59,Harsh Desai,BCA,6,6,242,-,142,40.33,212,114.15,1,1,26,8
60,Devang Kaushik,UTCA,6,6,241,-,79,40.17,288,83.68,0,2,26,7
61,Anandh Bhowmik,TCA,7,7,241,1,82,40.17,311,77.49,0,2,22,1
62,S S Dhas,MHCA,7,7,234,2,81,46.80,285,82.10,0,2,21,5
63,Samant Jakhar,HCA,9,7,230,1,79*,38.33,185,124.32,0,2,14,14
64,Ridham Satyawan,PCA,9,8,230,-,68,28.75,209,110.04,0,2,17,8
65,Vikas Sharma,MPCA,7,7,229,-,109,32.71,288,79.51,1,1,28,4
66,Mayank Gupta,PCA,6,6,227,-,89,37.83,295,76.94,0,1,27,2
67,Kushal Pal,HPCA,9,9,227,1,56,28.38,271,83.76,0,2,24,7
68,Md Faiz,VCA,7,7,226,2,100,45.20,179,126.25,1,1,19,8
69,Sumit Nag,CAB,6,6,226,-,79,37.67,303,74.58,0,2,23,5
70,Gautam Dileep,CAP,7,7,220,-,72,31.43,263,83.65,0,2,18,4
71,Kawal Preet Singh,JKCA,7,6,218,-,105,36.33,208,104.80,1,0,21,7
72,Om,OCA,6,6,216,-,123,36.00,264,81.81,1,0,23,0
73,Adarsh Singh,UPCA,5,4,215,-,74,53.75,231,93.07,0,3,17,5
74,Rohit Sen,ASCA,6,5,214,-,81,42.80,175,122.28,0,2,10,19
75,Karan Lamba,RCA,6,6,214,1,82*,42.80,265,80.75,0,2,17,9
76,Ayush  Kumar Singh,CAB,6,6,212,-,84,35.33,297,71.38,0,1,26,2
77,Yash Kasvankar,GOACA,6,5,211,1,100*,52.75,265,79.62,1,1,15,2
78,Deepak Yadav,CSCS,8,6,208,2,71*,52.00,232,89.65,0,3,14,7
79,Akshay T K,KCA,6,6,208,-,118,34.67,179,116.20,1,0,11,11
80,Sagar Pawar,MHCA,7,7,208,-,89,29.71,227,91.62,0,1,19,11
81,Vedant Murkar,MCA,5,5,205,-,97,41.00,299,68.56,0,1,18,4
82,Rohan Nair,KCA,7,7,203,-,109,29.00,247,82.18,1,1,17,4
83,Shubham Kushwah,MPCA,7,6,200,2,64,50.00,271,73.80,0,2,19,2
84,Jayant Lakhlan,RSPB,6,6,198,1,75*,39.60,225,88.00,0,1,15,6
85,Mayank Gusain,DDCA,4,3,197,1,117*,98.50,207,95.16,1,1,12,7
86,Gauresh Bharat Kambli,GOACA,6,6,196,-,68,32.67,200,98.00,0,1,29,4
87,Subham Singh,CAB,4,4,191,1,74,63.67,318,60.06,0,2,16,0
88,Krish Bhagat,PCA,9,8,191,4,81*,47.75,176,108.52,0,1,9,8
89,Abhishek Thakur,HPCA,5,5,191,1,69*,47.75,189,101.05,0,1,11,10
90,Sai Hariram K,CAP,7,7,191,1,79*,31.83,234,81.62,0,1,13,10
91,Rituraj Sharma,UPCA,4,4,190,-,168,47.50,146,130.13,1,0,16,11
