POS,PLAYER,TEAM,M,I,WKTS,R,BBI,AVG,ECON,SR,4W,5W
1,Aniket,HPCA,9,9,25,410,4,16.40,5.56,17.68,3,0
2,Piyush Dahiya,HCA,9,9,23,411,4,17.86,5.23,20.47,3,0
3,Rounak Waghela,DDCA,7,7,22,225,8,10.22,3.58,17.13,0,2
4,Anuj Thakral,HCA,9,9,20,415,4,20.75,5.46,22.80,2,0
5,Jay Malusare,GUCA,8,8,19,386,4,20.31,5.58,21.84,1,0
6,Aryaman Dhaliwal,PCA,9,9,19,270,5,14.21,3.39,25.10,0,1
7,Sahil Sharma,HPCA,8,8,17,309,4,18.17,4.68,23.29,1,0
8,Ritik V Kumar,HPCA,9,9,17,368,4,21.64,4.29,30.23,2,0
9,P Vignesh,TNCA,7,7,16,211,3,13.18,3.57,22.12,0,0
10,Ramveer Singh Gurjar,MPCA,7,7,16,233,5,14.56,4.09,21.31,0,1
11,Varun Singh Bhuie,CSCS,8,8,16,218,5,13.62,3.35,24.37,1,1
12,B Yeswanth,ACA,9,9,16,418,3,26.12,4.75,32.93,0,0
13,Lakshay Jain S,TNCA,7,6,15,203,4,13.53,3.75,21.60,2,0
14,Kunal Tyagi,UPCA,7,7,15,347,3,23.13,5.93,23.40,0,0
15,Krish Bhagat,PCA,9,9,15,366,4,24.40,5.05,28.93,1,0
16,Saketh Ram,ACA,8,9,15,367,4,24.46,5.47,26.80,1,0
17,K S Raju,ACA,9,9,15,460,4,30.66,5.97,30.80,2,0
18,Parush Mandal,MPCA,5,5,14,157,5,11.21,3.27,20.57,1,1
19,Vasudev Bareth,CSCS,6,6,14,263,5,18.78,5.67,19.85,1,1
20,Karan Umatt,BCA,6,6,14,292,3,20.85,5.68,22.00,0,0
21,Arshin Kulkarni,MHCA,7,7,14,265,4,18.92,5.00,22.71,1,0
22,Dev Aditya Singh,CSCS,8,8,14,295,4,21.07,4.74,26.64,1,0
23,Shen Patel,GUCA,8,8,14,345,5,24.64,5.67,26.07,1,1
24,Ayush Goyal,PCA,8,8,14,362,3,25.85,5.40,28.71,0,0
25,Kawal Preet Singh,JKCA,7,5,13,92,6,7.07,3.56,11.92,1,1
26,Saketh Dhatrak,HYCA,6,6,13,253,3,19.46,4.71,24.76,0,0
27,Ravinder,CAU,7,7,13,372,5,28.61,6.32,27.15,0,1
