POS,PLAYER,TEAM,M,I,R,NO,HS,AVG,BF,SR,100,50,4S,6S
1,Karun Nair,VCA,9,8,779,6,163*,389.50,628,124.04,5,1,93,16
2,Mayank Agarawal,KSCA,10,10,651,3,139*,93.00,605,107.60,4,1,72,18
3,S A Veer,MHCA,9,9,520,3,155,86.67,523,99.42,2,2,58,12
4,Prabhsimran Singh,PCA,8,8,498,2,150*,83.00,387,128.68,3,0,53,24
5,Dhruv Shorey,VCA,8,8,494,1,118*,70.57,533,92.68,3,1,56,8
6,Abhishek Sharma,PCA,8,8,467,-,170,58.38,358,130.44,1,3,50,23
7,Ankit Kumar,HCA,10,10,467,1,128*,51.89,559,83.54,1,3,54,2
8,Ayush Mhatre,MCA,7,7,458,-,181,65.43,338,135.50,2,1,43,23
9,Kartik,RCA,9,8,445,-,123,55.63,377,118.03,2,2,33,26
10,M K Lomror,RCA,8,8,438,2,134*,73.00,460,95.21,2,1,41,14
11,Smaran R,KSCA,10,7,433,1,101,72.17,432,100.23,2,2,29,16
12,Ashwin Hebbar,ACA,7,7,423,2,132,84.60,516,81.97,2,1,52,4
13,Y V Rathod,VCA,9,8,406,2,138*,67.67,423,95.98,2,0,50,3
14,Utkarsh Singh,JSCA,7,7,397,1,102,66.17,397,100.00,1,3,39,7
15,Anmolpreet Singh,PCA,8,8,389,1,115*,55.57,358,108.65,1,3,43,11
16,Samarth R,CAU,7,7,385,-,113,55.00,462,83.33,2,1,36,0
17,Aneesh K V,KSCA,10,9,385,1,93,48.13,444,86.71,0,4,37,7
18,P S Chopra,HPCA,5,5,378,-,134,75.60,439,86.10,2,1,31,5
19,A R Bawane,MHCA,9,6,375,1,123,75.00,448,83.70,1,4,38,4
20,A R Kalsi,HPCA,7,7,374,1,110,62.33,470,79.57,2,2,32,1
21,Manan Vohra,UTCA,6,5,369,1,107,92.25,421,87.64,3,0,33,12
22,Shashwat Rawat,BCA,7,7,366,-,104,52.29,443,82.61,1,2,41,6
23,H J Rana,HCA,10,10,362,-,101,36.20,439,82.46,1,2,49,6
24,Shubham Khajuria,JKCA,6,5,359,-,159,71.80,345,104.05,1,2,46,11
25,S A Ahuja,RSPB,7,7,352,-,115,50.29,344,102.32,2,1,34,7
26,Harsh Gawali,MPCA,6,6,345,1,142*,69.00,255,135.29,1,1,42,11
27,H Desai,SCA,7,7,339,1,125*,56.50,319,106.26,2,1,45,6
28,K S Bharat,ACA,7,7,335,2,107*,67.00,305,109.83,1,2,42,11
29,Urvil Patel,GUCA,8,8,333,1,115*,47.57,248,134.27,1,1,39,12
30,Shreyas Iyer,MCA,5,5,325,4,137*,325.00,247,131.57,2,0,28,18
31,Mandeep Singh,TCA,6,6,325,-,94,54.17,332,97.89,0,3,29,8
32,A V Vasavada,SCA,7,7,323,1,104,53.83,303,106.60,1,2,32,6
33,Aarya Desai,GUCA,8,8,323,1,106,46.14,328,98.47,1,2,40,7
34,Nishant Sindhu,HCA,10,9,323,2,88,46.14,351,92.02,0,2,26,4
35,Darshan Misal,GOACA,6,6,318,1,151*,63.60,271,117.34,1,2,33,11
36,Abishek Porel,CAB,7,7,317,1,170*,52.83,299,106.02,1,2,36,8
37,Ishan,JSCA,7,7,316,-,134,45.14,246,128.45,1,0,36,14
38,S C Ghadigaonkar,ASCA,7,7,310,-,77,44.29,360,86.11,0,4,25,8
39,Kunal Chandela,CAU,7,7,309,1,71,51.50,331,93.35,0,2,34,2
40,N Jagadeesan,TNCA,7,6,303,1,165,60.60,278,108.99,1,1,34,5
41,K L Shrijith,KSCA,10,8,303,1,150*,43.29,272,111.39,1,1,33,8
42,Vishnu Solanki,BCA,7,7,300,-,109,42.86,299,100.33,1,1,27,10
43,Parth P,SICA,7,7,299,-,80,42.71,346,86.41,0,2,24,10
44,Sudip Kumar Gharami,CAB,7,7,297,1,107*,49.50,364,81.59,1,1,32,5
45,Sahab Yuvraj Singh,RSPB,7,6,296,1,81,59.20,384,77.08,0,3,23,6
46,Sedezhalie,NCA,7,7,287,-,138,41.00,435,65.97,1,2,27,5
47,Shivam Bhambri,UTCA,6,5,286,1,152,71.50,274,104.37,1,1,24,16
48,Mohit Ahlawat,SSCB,7,7,282,-,78,40.29,332,84.93,0,3,27,9
49,Parth Vats,HCA,9,9,280,1,62,35.00,360,77.77,0,2,23,2
50,N S Naik,MHCA,9,7,277,3,52*,69.25,206,134.46,0,1,25,12
51,Jay Gohil,SCA,7,7,276,-,100,39.43,304,90.78,1,1,34,5
52,Swastik Samal,OCA,7,7,275,1,57,45.83,331,83.08,0,3,36,5
53,Sandeep Pattanaik,OCA,7,7,273,2,73,54.60,338,80.76,0,2,23,7
54,N A Rathva,BCA,7,7,272,-,136,38.86,309,88.02,1,0,39,5
55,Rishav Das,ASCA,7,7,270,-,78,38.57,420,64.28,0,3,31,1
56,Suchith J,NCA,7,7,262,1,104,43.67,222,118.01,1,1,19,10
57,Upendra Yadav,RSPB,7,7,256,2,77*,51.20,201,127.36,0,3,17,14
58,K H Pandya,BCA,7,7,256,2,87,51.20,282,90.78,0,2,23,6
59,Nischal D,NCA,7,7,252,-,77,36.00,377,66.84,0,3,26,0
60,Aman Khan,CAP,7,7,250,2,70*,50.00,259,96.52,0,2,21,8
61,Mohammed Azharuddeen,KCA,6,6,247,-,104,41.17,239,103.34,1,1,24,9
62,Chetan Bist,NCA,7,7,246,3,77*,61.50,241,102.07,0,2,19,5
63,Siddharth K V,GOACA,7,7,244,-,101,34.86,323,75.54,1,0,26,3
64,Ishaan Gadekar,GOACA,7,7,242,-,93,34.57,278,87.05,0,3,28,1
65,Aravelly Avanish,HYCA,7,6,241,-,100,40.17,228,105.70,1,2,27,6
66,Ashutosh Sharma,RSPB,7,7,241,-,75,34.43,166,145.18,0,1,21,15
67,Aryan Juyal,UPCA,6,5,238,1,116,59.50,267,89.13,1,1,26,4
68,Denish Das,ASCA,7,7,238,1,61,39.67,276,86.23,0,2,19,3
69,Kartik Biswal,OCA,7,6,237,1,76*,47.40,250,94.80,0,2,20,1
70,Abhinav Manohar,KSCA,10,8,235,3,79,47.00,162,145.06,0,2,17,15
71,Tushar Joshi,UTCA,6,5,233,-,131,46.60,276,84.42,1,1,24,5
72,Abhishek Goswami,UPCA,6,5,228,-,85,45.60,243,93.82,0,2,30,3
73,Aditya Tare,CAU,6,6,227,2,81*,56.75,174,130.45,0,1,25,5
74,Tanmay Agarwal,HYCA,7,7,227,-,64,32.43,260,87.30,0,2,26,7
75,Rajat Patidar,MPCA,6,6,226,2,132*,56.50,211,107.10,1,1,17,5
76,Yuvraj Choudhary,CAU,6,6,226,-,151,37.67,250,90.40,1,1,24,6
77,Anuj Rawat,DDCA,4,4,225,3,79*,225.00,240,93.75,0,3,22,9
78,Mohammad Saif,RSPB,5,5,225,1,73*,56.25,253,88.93,0,2,29,2
79,B Indrajith,TNCA,7,5,224,-,78,44.80,256,87.50,0,2,17,3
80,Ashutosh Singh,CSCS,5,4,222,-,127,55.50,219,101.36,1,1,21,8
81,Umang,GUCA,8,7,221,2,87,44.20,191,115.70,0,2,28,6
82,Ankur,SICA,7,7,215,4,58*,71.67,255,84.31,0,1,29,2
83,R Jonathan,NCA,7,7,215,1,109,35.83,268,80.22,1,1,18,3
84,A K Kaushik,UTCA,6,5,212,4,59*,212.00,175,121.14,0,3,18,10
85,Anmol Malhotra,PCA,8,5,211,2,66,70.33,226,93.36,0,1,16,3
86,Virat Singh,JSCA,5,5,209,1,104*,52.25,239,87.44,1,1,17,3
87,Kumar Kushagra,JSCA,7,7,208,3,78,52.00,185,112.43,0,1,17,8
88,Chirag Jani,SCA,7,6,208,2,83,52.00,201,103.48,0,2,22,4
89,Abhijeet Tomar,RCA,4,4,208,-,111,52.00,263,79.08,1,1,24,6
90,Deepak Jagbir Hooda,RCA,9,8,208,1,60*,29.71,242,85.95,0,1,19,3
91,S Mohamed Ali,TNCA,6,5,204,2,76*,68.00,180,113.33,0,1,20,5
92,Rohan S Kunnummal,KCA,6,6,204,-,65,34.00,217,94.00,0,2,25,4
93,Varun,HYCA,7,6,203,2,109*,50.75,212,95.75,1,1,11,5
94,Sanjeet Desai,CSCS,6,5,203,-,128,40.60,236,86.01,1,1,16,7
95,M J Dagar,HPCA,7,6,202,-,75,33.67,170,118.82,0,2,18,8
96,Salman Nizar,KCA,6,6,200,1,52,40.00,279,71.68,0,1,13,4
97,Arshin Kulkarni,MHCA,2,2,197,-,107,98.50,238,82.77,1,1,22,1
98,Devdutt Padikkal,KSCA,3,3,196,-,102,65.33,231,84.84,1,1,24,3
99,Aashirwad Swain,OCA,7,6,196,1,58,39.20,184,106.52,0,2,15,3
100,R R Dhawan,HPCA,7,7,196,2,82*,39.20,199,98.49,0,1,20,0
